57703,Rapid City,South Dakota ,PENNINGTON,46,103,SD 
57714,Allen,South Dakota ,BENNETT,46,007,SD 
57717,Belle Fourche,South Dakota ,BUTTE,46,019,SD 
57720,Buffalo,South Dakota ,HARDING,46,063,SD 
57718,Black Hawk,South Dakota ,MEADE,46,093,SD 
57719,Box Elder,South Dakota ,PENNINGTON,46,103,SD 
57730,Custer,South Dakota ,CUSTER,46,033,SD 
57725,Caputa,South Dakota ,PENNINGTON,46,103,SD 
57724,Camp Crook,South Dakota ,HARDING,46,063,SD 
57722,Buffalo Gap,South Dakota ,CUSTER,46,033,SD 
57732,Deadwood,South Dakota ,LAWRENCE,46,081,SD 
57735,Edgemont,South Dakota ,FALL RIVER,46,047,SD 
57744,Hermosa,South Dakota ,CUSTER,46,033,SD 
57737,Enning,South Dakota ,MEADE,46,093,SD 
57738,Fairburn,South Dakota ,CUSTER,46,033,SD 
57741,Fort Meade,South Dakota ,MEADE,46,093,SD 
57747,Hot Springs,South Dakota ,FALL RIVER,46,047,SD 
57745,Hill City,South Dakota ,PENNINGTON,46,103,SD 
57748,Howes,South Dakota ,MEADE,46,093,SD 
57750,Interior,South Dakota ,JACKSON,46,071,SD 
57751,Keystone,South Dakota ,PENNINGTON,46,103,SD 
57752,Kyle,South Dakota ,OGLALA LAKOTA,46,102,SD 
57756,Manderson,South Dakota ,OGLALA LAKOTA,46,102,SD 
57758,Mud Butte,South Dakota ,MEADE,46,093,SD 
57754,Lead,South Dakota ,LAWRENCE,46,081,SD 
57755,Ludlow,South Dakota ,HARDING,46,063,SD 
57759,Nemo,South Dakota ,LAWRENCE,46,081,SD 
57760,Newell,South Dakota ,BUTTE,46,019,SD 
57763,Oelrichs,South Dakota ,FALL RIVER,46,047,SD 
57761,New Underwood,South Dakota ,PENNINGTON,46,103,SD 
57762,Nisland,South Dakota ,BUTTE,46,019,SD 
57764,Oglala,South Dakota ,OGLALA LAKOTA,46,102,SD 
57766,Oral,South Dakota ,FALL RIVER,46,047,SD 
57767,Owanka,South Dakota ,PENNINGTON,46,103,SD 
57769,Piedmont,South Dakota ,MEADE,46,093,SD 
57770,Pine Ridge,South Dakota ,OGLALA LAKOTA,46,102,SD 
57772,Porcupine,South Dakota ,OGLALA LAKOTA,46,102,SD 
57773,Pringle,South Dakota ,CUSTER,46,033,SD 
57780,Scenic,South Dakota ,PENNINGTON,46,103,SD 
57776,Redig,South Dakota ,HARDING,46,063,SD 
57775,Quinn,South Dakota ,PENNINGTON,46,103,SD 
57779,Saint Onge,South Dakota ,LAWRENCE,46,081,SD 
57782,Smithwick,South Dakota ,FALL RIVER,46,047,SD 
57783,Spearfish,South Dakota ,LAWRENCE,46,081,SD 
57785,Sturgis,South Dakota ,MEADE,46,093,SD 
57787,Union Center,South Dakota ,MEADE,46,093,SD 
57791,Wasta,South Dakota ,PENNINGTON,46,103,SD 
57788,Vale,South Dakota ,BUTTE,46,019,SD 
57794,Wounded Knee,South Dakota ,OGLALA LAKOTA,46,102,SD 
57792,White Owl,South Dakota ,MEADE,46,093,SD 
57790,Wall,South Dakota ,PENNINGTON,46,103,SD 
57793,Whitewood,South Dakota ,LAWRENCE,46,081,SD 
57799,Spearfish,South Dakota ,LAWRENCE,46,081,SD 
