55904,Rochester,Minnesota ,OLMSTED,27,109,MN 
55909,Adams,Minnesota ,MOWER,27,099,MN 
55905,Rochester,Minnesota ,OLMSTED,27,109,MN 
55906,Rochester,Minnesota ,OLMSTED,27,109,MN 
55912,Austin,Minnesota ,MOWER,27,099,MN 
55910,Altura,Minnesota ,WINONA,27,169,MN 
55917,Blooming Prairie,Minnesota ,STEELE,27,147,MN 
55903,Rochester,Minnesota ,OLMSTED,27,109,MN 
55919,Brownsville,Minnesota ,HOUSTON,27,055,MN 
55918,Brownsdale,Minnesota ,MOWER,27,099,MN 
55920,Byron,Minnesota ,OLMSTED,27,109,MN 
55921,Caledonia,Minnesota ,HOUSTON,27,055,MN 
55922,Canton,Minnesota ,FILLMORE,27,045,MN 
55923,Chatfield,Minnesota ,FILLMORE,27,045,MN 
55924,Claremont,Minnesota ,DODGE,27,039,MN 
55925,Dakota,Minnesota ,WINONA,27,169,MN 
55926,Dexter,Minnesota ,MOWER,27,099,MN 
55927,Dodge Center,Minnesota ,DODGE,27,039,MN 
55931,Eitzen,Minnesota ,HOUSTON,27,055,MN 
55929,Dover,Minnesota ,OLMSTED,27,109,MN 
55932,Elgin,Minnesota ,WABASHA,27,157,MN 
55934,Eyota,Minnesota ,OLMSTED,27,109,MN 
55933,Elkton,Minnesota ,MOWER,27,099,MN 
55935,Fountain,Minnesota ,FILLMORE,27,045,MN 
55939,Harmony,Minnesota ,FILLMORE,27,045,MN 
55936,Grand Meadow,Minnesota ,MOWER,27,099,MN 
55942,Homer,Minnesota ,WINONA,27,169,MN 
55940,Hayfield,Minnesota ,DODGE,27,039,MN 
55943,Houston,Minnesota ,HOUSTON,27,055,MN 
55944,Kasson,Minnesota ,DODGE,27,039,MN 
55941,Hokah,Minnesota ,HOUSTON,27,055,MN 
55945,Kellogg,Minnesota ,WABASHA,27,157,MN 
55947,La Crescent,Minnesota ,HOUSTON,27,055,MN 
55946,Kenyon,Minnesota ,GOODHUE,27,049,MN 
55949,Lanesboro,Minnesota ,FILLMORE,27,045,MN 
55952,Lewiston,Minnesota ,WINONA,27,169,MN 
55951,Le Roy,Minnesota ,MOWER,27,099,MN 
55950,Lansing,Minnesota ,MOWER,27,099,MN 
55954,Mabel,Minnesota ,FILLMORE,27,045,MN 
55953,Lyle,Minnesota ,MOWER,27,099,MN 
55956,Mazeppa,Minnesota ,WABASHA,27,157,MN 
55955,Mantorville,Minnesota ,DODGE,27,039,MN 
55957,Millville,Minnesota ,WABASHA,27,157,MN 
55959,Minnesota City,Minnesota ,WINONA,27,169,MN 
55961,Ostrander,Minnesota ,FILLMORE,27,045,MN 
55960,Oronoco,Minnesota ,OLMSTED,27,109,MN 
55963,Pine Island,Minnesota ,GOODHUE,27,049,MN 
55964,Plainview,Minnesota ,WABASHA,27,157,MN 
55962,Peterson,Minnesota ,FILLMORE,27,045,MN 
55965,Preston,Minnesota ,FILLMORE,27,045,MN 
55967,Racine,Minnesota ,MOWER,27,099,MN 
55968,Reads Landing,Minnesota ,WABASHA,27,157,MN 
55970,Rose Creek,Minnesota ,MOWER,27,099,MN 
55969,Rollingstone,Minnesota ,WINONA,27,169,MN 
55974,Spring Grove,Minnesota ,HOUSTON,27,055,MN 
