68855,Mason City,Nebraska ,CUSTER,31,041,NE 
68860,Oconto,Nebraska ,CUSTER,31,041,NE 
68854,Marquette,Nebraska ,HAMILTON,31,081,NE 
68859,North Loup,Nebraska ,VALLEY,31,175,NE 
68856,Merna,Nebraska ,CUSTER,31,041,NE 
68870,Riverdale,Nebraska ,BUFFALO,31,019,NE 
68864,Palmer,Nebraska ,MERRICK,31,121,NE 
68863,Overton,Nebraska ,DAWSON,31,047,NE 
68871,Rockville,Nebraska ,SHERMAN,31,163,NE 
68865,Phillips,Nebraska ,HAMILTON,31,081,NE 
68872,Saint Libory,Nebraska ,HOWARD,31,093,NE 
68866,Pleasanton,Nebraska ,BUFFALO,31,019,NE 
68869,Ravenna,Nebraska ,BUFFALO,31,019,NE 
68881,Westerville,Nebraska ,CUSTER,31,041,NE 
68876,Shelton,Nebraska ,BUFFALO,31,019,NE 
68882,Wolbach,Nebraska ,GREELEY,31,077,NE 
68878,Sumner,Nebraska ,DAWSON,31,047,NE 
68879,Taylor,Nebraska ,LOUP,31,115,NE 
68873,Saint Paul,Nebraska ,HOWARD,31,093,NE 
68874,Sargent,Nebraska ,CUSTER,31,041,NE 
68875,Scotia,Nebraska ,GREELEY,31,077,NE 
68922,Arapahoe,Nebraska ,FURNAS,31,065,NE 
68902,Hastings,Nebraska ,ADAMS,31,001,NE 
68920,Alma,Nebraska ,HARLAN,31,083,NE 
68924,Axtell,Nebraska ,KEARNEY,31,099,NE 
68925,Ayr,Nebraska ,ADAMS,31,001,NE 
68883,Wood River,Nebraska ,HALL,31,079,NE 
68923,Atlanta,Nebraska ,PHELPS,31,137,NE 
68901,Hastings,Nebraska ,ADAMS,31,001,NE 
68927,Bertrand,Nebraska ,PHELPS,31,137,NE 
68929,Bloomington,Nebraska ,FRANKLIN,31,061,NE 
68934,Deweese,Nebraska ,CLAY,31,035,NE 
68926,Beaver City,Nebraska ,FURNAS,31,065,NE 
68933,Clay Center,Nebraska ,CLAY,31,035,NE 
68928,Bladen,Nebraska ,WEBSTER,31,181,NE 
68932,Campbell,Nebraska ,FRANKLIN,31,061,NE 
68930,Blue Hill,Nebraska ,WEBSTER,31,181,NE 
68935,Edgar,Nebraska ,CLAY,31,035,NE 
68937,Elwood,Nebraska ,GOSPER,31,073,NE 
68940,Funk,Nebraska ,PHELPS,31,137,NE 
68936,Edison,Nebraska ,FURNAS,31,065,NE 
68938,Fairfield,Nebraska ,CLAY,31,035,NE 
68941,Glenvil,Nebraska ,CLAY,31,035,NE 
68942,Guide Rock,Nebraska ,WEBSTER,31,181,NE 
68939,Franklin,Nebraska ,FRANKLIN,31,061,NE 
68943,Hardy,Nebraska ,NUCKOLLS,31,129,NE 
68949,Holdrege,Nebraska ,PHELPS,31,137,NE 
68944,Harvard,Nebraska ,CLAY,31,035,NE 
68945,Heartwell,Nebraska ,KEARNEY,31,099,NE 
68947,Hildreth,Nebraska ,FRANKLIN,31,061,NE 
