50628,Elma,Iowa ,HOWARD,19,089,IA 
50632,Garwin,Iowa ,TAMA,19,171,IA 
50634,Gilbertville,Iowa ,BLACK HAWK,19,013,IA 
50630,Fredericksburg,Iowa ,CHICKASAW,19,037,IA 
50635,Gladbrook,Iowa ,TAMA,19,171,IA 
50636,Greene,Iowa ,BUTLER,19,023,IA 
50638,Grundy Center,Iowa ,GRUNDY,19,075,IA 
50644,Independence,Iowa ,BUCHANAN,19,019,IA 
50645,Ionia,Iowa ,CHICKASAW,19,037,IA 
50643,Hudson,Iowa ,BLACK HAWK,19,013,IA 
50641,Hazleton,Iowa ,BUCHANAN,19,019,IA 
50642,Holland,Iowa ,GRUNDY,19,075,IA 
50647,Janesville,Iowa ,BREMER,19,017,IA 
50648,Jesup,Iowa ,BUCHANAN,19,019,IA 
50649,Kesley,Iowa ,BUTLER,19,023,IA 
50652,Lincoln,Iowa ,TAMA,19,171,IA 
50650,Lamont,Iowa ,BUCHANAN,19,019,IA 
50653,Marble Rock,Iowa ,FLOYD,19,067,IA 
50651,La Porte City,Iowa ,BLACK HAWK,19,013,IA 
50654,Masonville,Iowa ,DELAWARE,19,055,IA 
50655,Maynard,Iowa ,FAYETTE,19,065,IA 
50657,Morrison,Iowa ,GRUNDY,19,075,IA 
50658,Nashua,Iowa ,CHICKASAW,19,037,IA 
50661,North Washington,Iowa ,CHICKASAW,19,037,IA 
50659,New Hampton,Iowa ,CHICKASAW,19,037,IA 
50664,Oran,Iowa ,FAYETTE,19,065,IA 
50660,New Hartford,Iowa ,BUTLER,19,023,IA 
50665,Parkersburg,Iowa ,BUTLER,19,023,IA 
50662,Oelwein,Iowa ,FAYETTE,19,065,IA 
50666,Plainfield,Iowa ,BREMER,19,017,IA 
50667,Raymond,Iowa ,BLACK HAWK,19,013,IA 
50668,Readlyn,Iowa ,BREMER,19,017,IA 
50669,Reinbeck,Iowa ,GRUNDY,19,075,IA 
50670,Shell Rock,Iowa ,BUTLER,19,023,IA 
50672,Steamboat Rock,Iowa ,HARDIN,19,083,IA 
50673,Stout,Iowa ,GRUNDY,19,075,IA 
50674,Sumner,Iowa ,BREMER,19,017,IA 
50671,Stanley,Iowa ,BUCHANAN,19,019,IA 
50675,Traer,Iowa ,TAMA,19,171,IA 
50676,Tripoli,Iowa ,BREMER,19,017,IA 
50677,Waverly,Iowa ,BREMER,19,017,IA 
50701,Waterloo,Iowa ,BLACK HAWK,19,013,IA 
50682,Winthrop,Iowa ,BUCHANAN,19,019,IA 
50681,Westgate,Iowa ,FAYETTE,19,065,IA 
50704,Waterloo,Iowa ,BLACK HAWK,19,013,IA 
50703,Waterloo,Iowa ,BLACK HAWK,19,013,IA 
50680,Wellsburg,Iowa ,GRUNDY,19,075,IA 
50702,Waterloo,Iowa ,BLACK HAWK,19,013,IA 
50801,Creston,Iowa ,UNION,19,175,IA 
50707,Evansdale,Iowa ,BLACK HAWK,19,013,IA 
50831,Arispe,Iowa ,UNION,19,175,IA 
50830,Afton,Iowa ,UNION,19,175,IA 
50836,Blockton,Iowa ,TAYLOR,19,173,IA 
50835,Benton,Iowa ,RINGGOLD,19,159,IA 
50833,Bedford,Iowa ,TAYLOR,19,173,IA 
50837,Bridgewater,Iowa ,ADAIR,19,001,IA 
50839,Carbon,Iowa ,ADAMS,19,003,IA 
50841,Corning,Iowa ,ADAMS,19,003,IA 
50846,Fontanelle,Iowa ,ADAIR,19,001,IA 
50842,Cromwell,Iowa ,UNION,19,175,IA 
50840,Clearfield,Iowa ,TAYLOR,19,173,IA 
50845,Diagonal,Iowa ,RINGGOLD,19,159,IA 
50843,Cumberland,Iowa ,CASS,19,029,IA 
50847,Grant,Iowa ,MONTGOMERY,19,137,IA 
50848,Gravity,Iowa ,TAYLOR,19,173,IA 
50849,Greenfield,Iowa ,ADAIR,19,001,IA 
50851,Lenox,Iowa ,TAYLOR,19,173,IA 
50858,Orient,Iowa ,ADAIR,19,001,IA 
50859,Prescott,Iowa ,ADAMS,19,003,IA 
50857,Nodaway,Iowa ,ADAMS,19,003,IA 
50853,Massena,Iowa ,CASS,19,029,IA 
50854,Mount Ayr,Iowa ,RINGGOLD,19,159,IA 
50860,Redding,Iowa ,RINGGOLD,19,159,IA 
