39437,Ellisville,Mississippi ,JONES,28,067,MS 
39452,Lucedale,Mississippi ,GEORGE,28,039,MS 
39462,New Augusta,Mississippi ,PERRY,28,111,MS 
39455,Lumberton,Mississippi ,LAMAR,28,073,MS 
39461,Neely,Mississippi ,GREENE,28,041,MS 
39460,Moss,Mississippi ,JASPER,28,061,MS 
39459,Moselle,Mississippi ,JONES,28,067,MS 
39457,Mc Neill,Mississippi ,PEARL RIVER,28,109,MS 
39456,Mc Lain,Mississippi ,GREENE,28,041,MS 
39464,Ovett,Mississippi ,JONES,28,067,MS 
39466,Picayune,Mississippi ,PEARL RIVER,28,109,MS 
39474,Prentiss,Mississippi ,JEFFERSON DAVIS,28,065,MS 
39475,Purvis,Mississippi ,LAMAR,28,073,MS 
39476,Richton,Mississippi ,PERRY,28,111,MS 
39470,Poplarville,Mississippi ,PEARL RIVER,28,109,MS 
39463,Nicholson,Mississippi ,PEARL RIVER,28,109,MS 
39465,Petal,Mississippi ,FORREST,28,035,MS 
39477,Sandersville,Mississippi ,JONES,28,067,MS 
39478,Sandy Hook,Mississippi ,MARION,28,091,MS 
39479,Seminary,Mississippi ,COVINGTON,28,031,MS 
39501,Gulfport,Mississippi ,HARRISON,28,047,MS 
39483,Foxworth,Mississippi ,MARION,28,091,MS 
39480,Soso,Mississippi ,JONES,28,067,MS 
39482,Sumrall,Mississippi ,LAMAR,28,073,MS 
39481,Stringer,Mississippi ,JASPER,28,061,MS 
39502,Gulfport,Mississippi ,HARRISON,28,047,MS 
39505,Gulfport,Mississippi ,HARRISON,28,047,MS 
39503,Gulfport,Mississippi ,HARRISON,28,047,MS 
39506,Gulfport,Mississippi ,HARRISON,28,047,MS 
39522,Stennis Space Center,Mississippi ,HANCOCK,28,045,MS 
39521,Bay Saint Louis,Mississippi ,HANCOCK,28,045,MS 
39525,Diamondhead,Mississippi ,HANCOCK,28,045,MS 
39507,Gulfport,Mississippi ,HARRISON,28,047,MS 
39520,Bay Saint Louis,Mississippi ,HANCOCK,28,045,MS 
39529,Stennis Space Center,Mississippi ,HANCOCK,28,045,MS 
