73569,Terral,Oklahoma ,JEFFERSON,40,067,OK 
73572,Walters,Oklahoma ,COTTON,40,033,OK 
73570,Tipton,Oklahoma ,TILLMAN,40,141,OK 
73601,Clinton,Oklahoma ,CUSTER,40,039,OK 
73568,Temple,Oklahoma ,COTTON,40,033,OK 
73571,Vinson,Oklahoma ,HARMON,40,057,OK 
73573,Waurika,Oklahoma ,JEFFERSON,40,067,OK 
73624,Burns Flat,Oklahoma ,WASHITA,40,149,OK 
73622,Bessie,Oklahoma ,WASHITA,40,149,OK 
73625,Butler,Oklahoma ,CUSTER,40,039,OK 
73627,Carter,Oklahoma ,BECKHAM,40,009,OK 
73632,Cordell,Oklahoma ,WASHITA,40,149,OK 
73620,Arapaho,Oklahoma ,CUSTER,40,039,OK 
73626,Canute,Oklahoma ,WASHITA,40,149,OK 
73628,Cheyenne,Oklahoma ,ROGER MILLS,40,129,OK 
73638,Crawford,Oklahoma ,ROGER MILLS,40,129,OK 
73644,Elk City,Oklahoma ,BECKHAM,40,009,OK 
73645,Erick,Oklahoma ,BECKHAM,40,009,OK 
73642,Durham,Oklahoma ,ROGER MILLS,40,129,OK 
73639,Custer City,Oklahoma ,CUSTER,40,039,OK 
73646,Fay,Oklahoma ,DEWEY,40,043,OK 
73647,Foss,Oklahoma ,WASHITA,40,149,OK 
73641,Dill City,Oklahoma ,WASHITA,40,149,OK 
73648,Elk City,Oklahoma ,BECKHAM,40,009,OK 
73650,Hammon,Oklahoma ,ROGER MILLS,40,129,OK 
73658,Oakwood,Oklahoma ,DEWEY,40,043,OK 
73660,Reydon,Oklahoma ,ROGER MILLS,40,129,OK 
73651,Hobart,Oklahoma ,KIOWA,40,075,OK 
73654,Leedey,Oklahoma ,DEWEY,40,043,OK 
73655,Lone Wolf,Oklahoma ,KIOWA,40,075,OK 
73659,Putnam,Oklahoma ,DEWEY,40,043,OK 
73661,Rocky,Oklahoma ,WASHITA,40,149,OK 
73662,Sayre,Oklahoma ,BECKHAM,40,009,OK 
73663,Seiling,Oklahoma ,DEWEY,40,043,OK 
73668,Texola,Oklahoma ,BECKHAM,40,009,OK 
73664,Sentinel,Oklahoma ,WASHITA,40,149,OK 
73666,Sweetwater,Oklahoma ,ROGER MILLS,40,129,OK 
73669,Thomas,Oklahoma ,CUSTER,40,039,OK 
73667,Taloga,Oklahoma ,DEWEY,40,043,OK 
73673,Willow,Oklahoma ,GREER,40,055,OK 
73701,Enid,Oklahoma ,GARFIELD,40,047,OK 
73702,Enid,Oklahoma ,GARFIELD,40,047,OK 
73705,Enid,Oklahoma ,GARFIELD,40,047,OK 
73717,Alva,Oklahoma ,WOODS,40,151,OK 
73706,Enid,Oklahoma ,GARFIELD,40,047,OK 
73703,Enid,Oklahoma ,GARFIELD,40,047,OK 
73716,Aline,Oklahoma ,ALFALFA,40,003,OK 
73718,Ames,Oklahoma ,MAJOR,40,093,OK 
73719,Amorita,Oklahoma ,ALFALFA,40,003,OK 
73722,Burlington,Oklahoma ,ALFALFA,40,003,OK 
73727,Carrier,Oklahoma ,GARFIELD,40,047,OK 
73720,Bison,Oklahoma ,GARFIELD,40,047,OK 
73729,Cleo Springs,Oklahoma ,MAJOR,40,093,OK 
73726,Carmen,Oklahoma ,ALFALFA,40,003,OK 
73724,Canton,Oklahoma ,BLAINE,40,011,OK 
73728,Cherokee,Oklahoma ,ALFALFA,40,003,OK 
73730,Covington,Oklahoma ,GARFIELD,40,047,OK 
73734,Dover,Oklahoma ,KINGFISHER,40,073,OK 
73731,Dacoma,Oklahoma ,WOODS,40,151,OK 
73737,Fairview,Oklahoma ,MAJOR,40,093,OK 
73733,Douglas,Oklahoma ,GARFIELD,40,047,OK 
73736,Fairmont,Oklahoma ,GARFIELD,40,047,OK 
73738,Garber,Oklahoma ,GARFIELD,40,047,OK 
