46845,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46861,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46856,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46854,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46855,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46857,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46859,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46858,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46860,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46862,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46864,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46867,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46868,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46869,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46863,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46865,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46866,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46885,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46896,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46895,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46901,Kokomo,Indiana ,HOWARD,18,067,IN 
46899,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46902,Kokomo,Indiana ,HOWARD,18,067,IN 
46897,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46898,Fort Wayne,Indiana ,ALLEN,18,003,IN 
46904,Kokomo,Indiana ,HOWARD,18,067,IN 
46903,Kokomo,Indiana ,HOWARD,18,067,IN 
46913,Bringhurst,Indiana ,CARROLL,18,015,IN 
46915,Burlington,Indiana ,CARROLL,18,015,IN 
46912,Athens,Indiana ,FULTON,18,049,IN 
46914,Bunker Hill,Indiana ,MIAMI,18,103,IN 
46910,Akron,Indiana ,FULTON,18,049,IN 
46911,Amboy,Indiana ,MIAMI,18,103,IN 
46916,Burrows,Indiana ,CARROLL,18,015,IN 
46917,Camden,Indiana ,CARROLL,18,015,IN 
46919,Converse,Indiana ,MIAMI,18,103,IN 
46921,Deedsville,Indiana ,MIAMI,18,103,IN 
46920,Cutler,Indiana ,CARROLL,18,015,IN 
46923,Delphi,Indiana ,CARROLL,18,015,IN 
46922,Delong,Indiana ,FULTON,18,049,IN 
46928,Fairmount,Indiana ,GRANT,18,053,IN 
46929,Flora,Indiana ,CARROLL,18,015,IN 
46926,Denver,Indiana ,MIAMI,18,103,IN 
46931,Fulton,Indiana ,FULTON,18,049,IN 
46930,Fowlerton,Indiana ,GRANT,18,053,IN 
46933,Gas City,Indiana ,GRANT,18,053,IN 
46932,Galveston,Indiana ,CASS,18,017,IN 
46936,Greentown,Indiana ,HOWARD,18,067,IN 
46938,Jonesboro,Indiana ,GRANT,18,053,IN 
46935,Grass Creek,Indiana ,FULTON,18,049,IN 
46937,Hemlock,Indiana ,HOWARD,18,067,IN 
46939,Kewanna,Indiana ,FULTON,18,049,IN 
46941,Lagro,Indiana ,WABASH,18,169,IN 
46943,Laketon,Indiana ,WABASH,18,169,IN 
46940,La Fontaine,Indiana ,WABASH,18,169,IN 
46945,Leiters Ford,Indiana ,FULTON,18,049,IN 
46942,Lake Cicott,Indiana ,CASS,18,017,IN 
46947,Logansport,Indiana ,CASS,18,017,IN 
46946,Liberty Mills,Indiana ,WABASH,18,169,IN 
46950,Lucerne,Indiana ,CASS,18,017,IN 
46951,Macy,Indiana ,MIAMI,18,103,IN 
46957,Matthews,Indiana ,GRANT,18,053,IN 
46952,Marion,Indiana ,GRANT,18,053,IN 
46953,Marion,Indiana ,GRANT,18,053,IN 
46960,Monterey,Indiana ,PULASKI,18,131,IN 
46959,Miami,Indiana ,MIAMI,18,103,IN 
46958,Mexico,Indiana ,MIAMI,18,103,IN 
46961,New Waverly,Indiana ,CASS,18,017,IN 
46962,North Manchester,Indiana ,WABASH,18,169,IN 
46965,Oakford,Indiana ,HOWARD,18,067,IN 
46967,Onward,Indiana ,CASS,18,017,IN 
46974,Roann,Indiana ,WABASH,18,169,IN 
46971,Grissom ARB,Indiana ,MIAMI,18,103,IN 
46968,Ora,Indiana ,STARKE,18,149,IN 
46977,Rockfield,Indiana ,CARROLL,18,015,IN 
46975,Rochester,Indiana ,FULTON,18,049,IN 
46970,Peru,Indiana ,MIAMI,18,103,IN 
46978,Royal Center,Indiana ,CASS,18,017,IN 
46979,Russiaville,Indiana ,HOWARD,18,067,IN 
46986,Swayzee,Indiana ,GRANT,18,053,IN 
46980,Servia,Indiana ,WABASH,18,169,IN 
46988,Twelve Mile,Indiana ,CASS,18,017,IN 
46982,Silver Lake,Indiana ,KOSCIUSKO,18,085,IN 
46984,Somerset,Indiana ,WABASH,18,169,IN 
46985,Star City,Indiana ,PULASKI,18,131,IN 
46987,Sweetser,Indiana ,GRANT,18,053,IN 
46989,Upland,Indiana ,GRANT,18,053,IN 
46990,Urbana,Indiana ,WABASH,18,169,IN 
46991,Van Buren,Indiana ,GRANT,18,053,IN 
46992,Wabash,Indiana ,WABASH,18,169,IN 
46994,Walton,Indiana ,CASS,18,017,IN 
47001,Aurora,Indiana ,DEARBORN,18,029,IN 
46998,Young America,Indiana ,CASS,18,017,IN 
