20579,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20578,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20580,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20585,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20581,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20590,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20597,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20591,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20586,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20593,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20594,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56901,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56904,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56908,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56920,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56915,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
20599,Washington,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56902,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56933,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56935,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56944,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56945,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56950,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56967,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56966,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56965,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56968,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56969,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56970,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56972,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56971,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56973,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56999,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
56998,Parcel Return Service,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
88888,North Pole,District of Columbia ,DISTRICT OF COLUMBIA,11,001,DC 
