67068,Kingman,Kansas ,KINGMAN,20,095,KS 
67070,Kiowa,Kansas ,BARBER,20,007,KS 
67067,Kechi,Kansas ,SEDGWICK,20,173,KS 
67102,Maple City,Kansas ,COWLEY,20,035,KS 
67074,Leon,Kansas ,BUTLER,20,015,KS 
67073,Lehigh,Kansas ,MARION,20,115,KS 
67106,Milton,Kansas ,SUMNER,20,191,KS 
67101,Maize,Kansas ,SEDGWICK,20,173,KS 
67103,Mayfield,Kansas ,SUMNER,20,191,KS 
67105,Milan,Kansas ,SUMNER,20,191,KS 
67104,Medicine Lodge,Kansas ,BARBER,20,007,KS 
67109,Mullinville,Kansas ,KIOWA,20,097,KS 
67107,Moundridge,Kansas ,MCPHERSON,20,113,KS 
67108,Mount Hope,Kansas ,SEDGWICK,20,173,KS 
67112,Nashville,Kansas ,KINGMAN,20,095,KS 
67110,Mulvane,Kansas ,SEDGWICK,20,173,KS 
67117,North Newton,Kansas ,HARVEY,20,079,KS 
67114,Newton,Kansas ,HARVEY,20,079,KS 
67111,Murdock,Kansas ,KINGMAN,20,095,KS 
67118,Norwich,Kansas ,KINGMAN,20,095,KS 
67120,Peck,Kansas ,SUMNER,20,191,KS 
67122,Piedmont,Kansas ,GREENWOOD,20,073,KS 
67119,Oxford,Kansas ,SUMNER,20,191,KS 
67123,Potwin,Kansas ,BUTLER,20,015,KS 
67124,Pratt,Kansas ,PRATT,20,151,KS 
67127,Protection,Kansas ,COMANCHE,20,033,KS 
67131,Rock,Kansas ,COWLEY,20,035,KS 
67132,Rosalia,Kansas ,BUTLER,20,015,KS 
67133,Rose Hill,Kansas ,BUTLER,20,015,KS 
67134,Sawyer,Kansas ,PRATT,20,151,KS 
67135,Sedgwick,Kansas ,HARVEY,20,079,KS 
67137,Severy,Kansas ,GREENWOOD,20,073,KS 
67138,Sharon,Kansas ,BARBER,20,007,KS 
67142,Spivey,Kansas ,KINGMAN,20,095,KS 
67140,South Haven,Kansas ,SUMNER,20,191,KS 
67143,Sun City,Kansas ,BARBER,20,007,KS 
67144,Towanda,Kansas ,BUTLER,20,015,KS 
67146,Udall,Kansas ,COWLEY,20,035,KS 
67147,Valley Center,Kansas ,SEDGWICK,20,173,KS 
67149,Viola,Kansas ,SEDGWICK,20,173,KS 
67154,Whitewater,Kansas ,BUTLER,20,015,KS 
67150,Waldron,Kansas ,HARPER,20,077,KS 
67151,Walton,Kansas ,HARVEY,20,079,KS 
67152,Wellington,Kansas ,SUMNER,20,191,KS 
67155,Wilmore,Kansas ,COMANCHE,20,033,KS 
67156,Winfield,Kansas ,COWLEY,20,035,KS 
67159,Zenda,Kansas ,KINGMAN,20,095,KS 
67201,Wichita,Kansas ,SEDGWICK,20,173,KS 
67205,Wichita,Kansas ,SEDGWICK,20,173,KS 
67204,Wichita,Kansas ,SEDGWICK,20,173,KS 
67203,Wichita,Kansas ,SEDGWICK,20,173,KS 
67202,Wichita,Kansas ,SEDGWICK,20,173,KS 
67206,Wichita,Kansas ,SEDGWICK,20,173,KS 
67208,Wichita,Kansas ,SEDGWICK,20,173,KS 
67207,Wichita,Kansas ,SEDGWICK,20,173,KS 
67209,Wichita,Kansas ,SEDGWICK,20,173,KS 
67212,Wichita,Kansas ,SEDGWICK,20,173,KS 
67214,Wichita,Kansas ,SEDGWICK,20,173,KS 
67213,Wichita,Kansas ,SEDGWICK,20,173,KS 
67211,Wichita,Kansas ,SEDGWICK,20,173,KS 
67210,Wichita,Kansas ,SEDGWICK,20,173,KS 
67215,Wichita,Kansas ,SEDGWICK,20,173,KS 
67217,Wichita,Kansas ,SEDGWICK,20,173,KS 
67216,Wichita,Kansas ,SEDGWICK,20,173,KS 
67219,Wichita,Kansas ,SEDGWICK,20,173,KS 
67218,Wichita,Kansas ,SEDGWICK,20,173,KS 
67221,Mcconnell AFB,Kansas ,SEDGWICK,20,173,KS 
67223,Wichita,Kansas ,SEDGWICK,20,173,KS 
