99738,Eagle,Alaska ,SOUTHEAST FAIRBANKS,02,240,AK 
99739,Elim,Alaska ,NOME,02,180,AK 
99740,Fort Yukon,Alaska ,YUKON KOYUKUK,02,290,AK 
99742,Gambell,Alaska ,NOME,02,180,AK 
99745,Hughes,Alaska ,YUKON KOYUKUK,02,290,AK 
99744,Anderson,Alaska ,DENALI,02,068,AK 
99749,Kiana,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99750,Kivalina,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99747,Kaktovik,Alaska ,NORTH SLOPE,02,185,AK 
99751,Kobuk,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99748,Kaltag,Alaska ,YUKON KOYUKUK,02,290,AK 
99746,Huslia,Alaska ,YUKON KOYUKUK,02,290,AK 
99753,Koyuk,Alaska ,NOME,02,180,AK 
99752,Kotzebue,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99754,Koyukuk,Alaska ,YUKON KOYUKUK,02,290,AK 
99755,Denali National Park,Alaska ,DENALI,02,068,AK 
99757,Lake Minchumina,Alaska ,YUKON KOYUKUK,02,290,AK 
99756,Manley Hot Springs,Alaska ,YUKON KOYUKUK,02,290,AK 
99760,Nenana,Alaska ,YUKON KOYUKUK,02,290,AK 
99758,Minto,Alaska ,YUKON KOYUKUK,02,290,AK 
99759,Point Lay,Alaska ,NORTH SLOPE,02,185,AK 
99761,Noatak,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99766,Point Hope,Alaska ,NORTH SLOPE,02,185,AK 
99765,Nulato,Alaska ,YUKON KOYUKUK,02,290,AK 
99768,Ruby,Alaska ,YUKON KOYUKUK,02,290,AK 
99763,Noorvik,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99764,Northway,Alaska ,SOUTHEAST FAIRBANKS,02,240,AK 
99767,Rampart,Alaska ,YUKON KOYUKUK,02,290,AK 
99762,Nome,Alaska ,NOME,02,180,AK 
99769,Savoonga,Alaska ,NOME,02,180,AK 
99770,Selawik,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99774,Stevens Village,Alaska ,YUKON KOYUKUK,02,290,AK 
99777,Tanana,Alaska ,YUKON KOYUKUK,02,290,AK 
99771,Shaktoolik,Alaska ,NOME,02,180,AK 
99773,Shungnak,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99772,Shishmaref,Alaska ,NOME,02,180,AK 
99775,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99776,Tanacross,Alaska ,SOUTHEAST FAIRBANKS,02,240,AK 
99778,Teller,Alaska ,NOME,02,180,AK 
99780,Tok,Alaska ,SOUTHEAST FAIRBANKS,02,240,AK 
99786,Ambler,Alaska ,NORTHWEST ARCTIC,02,188,AK 
99783,Wales,Alaska ,NOME,02,180,AK 
99782,Wainwright,Alaska ,NORTH SLOPE,02,185,AK 
99784,White Mountain,Alaska ,NOME,02,180,AK 
99781,Venetie,Alaska ,YUKON KOYUKUK,02,290,AK 
99785,Brevig Mission,Alaska ,NOME,02,180,AK 
99788,Chalkyitsik,Alaska ,YUKON KOYUKUK,02,290,AK 
99789,Nuiqsut,Alaska ,NORTH SLOPE,02,185,AK 
99790,Fairbanks,Alaska ,FAIRBANKS NORTH STAR,02,090,AK 
99791,Atqasuk,Alaska ,NORTH SLOPE,02,185,AK 
99811,Juneau,Alaska ,JUNEAU,02,110,AK 
99803,Juneau,Alaska ,JUNEAU,02,110,AK 
99801,Juneau,Alaska ,JUNEAU,02,110,AK 
99802,Juneau,Alaska ,JUNEAU,02,110,AK 
99812,Juneau,Alaska ,JUNEAU,02,110,AK 
99821,Auke Bay,Alaska ,JUNEAU,02,110,AK 
99820,Angoon,Alaska ,HOONAH ANGOON,02,105,AK 
99827,Haines,Alaska ,HAINES,02,100,AK 
99824,Douglas,Alaska ,JUNEAU,02,110,AK 
99825,Elfin Cove,Alaska ,HOONAH ANGOON,02,105,AK 
99826,Gustavus,Alaska ,HOONAH ANGOON,02,105,AK 
99829,Hoonah,Alaska ,HOONAH ANGOON,02,105,AK 
99830,Kake,Alaska ,PETERSBURG,02,195,AK 
99832,Pelican,Alaska ,HOONAH ANGOON,02,105,AK 
99840,Skagway,Alaska ,SKAGWAY,02,230,AK 
99835,Sitka,Alaska ,SITKA,02,220,AK 
99836,Port Alexander,Alaska ,SITKA,02,220,AK 
99850,Juneau,Alaska ,JUNEAU,02,110,AK 
99841,Tenakee Springs,Alaska ,HOONAH ANGOON,02,105,AK 
99901,Ketchikan,Alaska ,KETCHIKAN GATEWAY,02,130,AK 
99833,Petersburg,Alaska ,PETERSBURG,02,195,AK 
99903,Meyers Chuck,Alaska ,WRANGELL,02,275,AK 
99921,Craig,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99918,Coffman Cove,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99919,Thorne Bay,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99922,Hydaburg,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99923,Hyder,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99925,Klawock,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99926,Metlakatla,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99927,Point Baker,Alaska ,PRINCE OF WALES HYDER,02,198,AK 
99929,Wrangell,Alaska ,WRANGELL,02,275,AK 
99928,Ward Cove,Alaska ,KETCHIKAN GATEWAY,02,130,AK 
99950,Ketchikan,Alaska ,KETCHIKAN GATEWAY,02,130,AK 
